rank_now,name,location,area
部門順位,温泉地名,所在地,地方
1,草津,群馬,関東
2,道後,愛媛,四国
3,城崎,兵庫,近畿
4,由布院,大分,九州
5,黒川,熊本,九州
6,有馬,兵庫,近畿
7,別府八湯,大分,九州
8,下呂,岐阜,中部
9,箱根,神奈川,関東
10,和倉,石川,中部
11,登別,北海道,北海道
12,指宿,鹿児島,九州
13,銀山,山形,東北
14,伊香保,群馬,関東
15,乳頭温泉郷,秋田,東北
16,奥飛騨温泉郷,岐阜,中部
17,玉造,島根,中国
18,湯田中渋温泉郷,長野,中部
19,熱海,静岡,中部
20,修善寺,静岡,中部
21,山中,石川,中部
22,雲仙,長崎,九州
23,蔵王,山形,東北
24,秋保,宮城,東北
25,あわら,福井,中部
26,鬼怒川・川治,栃木,関東
27,月岡,新潟,中部
28,湯の川,北海道,北海道
29,酸ヶ湯,青森,東北
30,上諏訪,長野,中部
31,山代,石川,中部
32,霧島,鹿児島,九州
33,白骨,長野,中部
34,宇奈月,富山,中部
35,白浜,和歌山,近畿
36,洞爺湖,北海道,北海道
37,長門湯本,山口,中国
38,四万,群馬,関東
39,三朝,鳥取,中国
40,嬉野,佐賀,九州
41,長良川,岐阜,中部
42,万座,群馬,関東
43,花巻温泉郷,岩手,東北
44,みなかみ１８湯,群馬,関東
45,阿寒湖,北海道,北海道
46,湯西川,栃木,関東
47,定山渓,北海道,北海道
48,河口湖,山梨,中部
49,別所,長野,中部
50,平磯,北海道,北海道
部門順位,温泉地名,所在地,地方
51,昼神,長野,中部
52,十勝川,北海道,北海道
53,湯村,兵庫,近畿
54,野沢,長野,中部
55,層雲峡,北海道,北海道
56,鳴子,宮城,東北
57,飛騨高山,岐阜,中部
58,ウトロ,北海道,北海道
59,黄金崎不老ふ死,青森,東北
60,観音,静岡,中部
61,美ヶ原,長野,中部
62,稲取,静岡,中部
63,東山,福島,東北
64,西山,山梨,中部
65,湯河原,神奈川,関東
66,南紀勝浦,和歌山,近畿
67,皆生,鳥取,中国
68,こんぴら,香川,四国
69,高湯,福島,東北
70,湯田,山口,中国
71,母畑,福島,東北
72,石和,山梨,中部
73,洲本,兵庫,近畿
74,祖谷,徳島,四国
75,杖立,熊本,九州
76,あつみ,山形,東北
77,那須,栃木,関東
78,瀬波,新潟,中部
79,伊東,静岡,中部
80,長湯,大分,九州
81,阿蘇温泉郷,熊本,九州
82,支笏湖,北海道,北海道
83,玉川,秋田,東北
84,下田,静岡,中部
85,かみのやま,山形,東北
86,日光湯元,栃木,関東
87,大雪高原,北海道,北海道
88,北川,静岡,中部
89,新玉川,秋田,東北
90,赤湯,山形,東北
91,芦ノ牧,福島,東北
92,扉,長野,中部
93,弓ヶ浜,静岡,中部
94,おごと,滋賀,近畿
95,熊野本宮温泉郷,和歌山,近畿
96,人吉,熊本,九州
97,養老牛,北海道,北海道
98,愛山渓,北海道,北海道
99,青荷,青森,東北
100,丸駒,北海道,北海道
