rank_now,name,location,area
部門順位,温泉地名,所在地,地方
1,和倉,石川,中部
2,下呂,岐阜,中部
3,指宿,鹿児島,九州
4,別府八湯,大分,九州
5,城崎,兵庫,近畿
6,道後,愛媛,四国
7,由布院,大分,九州
8,草津,群馬,関東
9,あわら,福井,中部
10,箱根,神奈川,関東
11,黒川,熊本,九州
12,登別,北海道,北海道
13,有馬,兵庫,近畿
14,山代,石川,中部
15,熱海,静岡,中部
16,奥飛騨温泉郷,岐阜,中部
17,玉造,島根,中国
18,湯の川,北海道,北海道
19,稲取,静岡,中部
20,十勝川,北海道,北海道
21,月岡,新潟,中部
22,嬉野,佐賀,九州
23,乳頭温泉郷,秋田,東北
24,秋保,宮城,東北
25,蔵王,山形,東北
26,山中,石川,中部
27,長良川,岐阜,中部
28,雲仙,長崎,九州
29,霧島,鹿児島,九州
30,銀山,山形,東北
31,長門湯本,山口,中国
32,三朝,鳥取,中国
33,みなかみ１８湯,群馬,関東
34,平磯,北海道,北海道
35,湯西川,栃木,関東
36,白浜,和歌山,近畿
37,ウトロ,北海道,北海道
38,飛騨高山,岐阜,中部
39,洲本,兵庫,近畿
40,花巻温泉郷,岩手,東北
41,鬼怒川・川治,栃木,関東
42,石和,山梨,中部
43,宇奈月,富山,中部
44,かみのやま,山形,東北
45,皆生,鳥取,中国
46,定山渓,北海道,北海道
47,鳥羽温泉郷,三重,近畿
48,阿寒湖,北海道,北海道
49,上諏訪,長野,中部
50,東山,福島,東北
部門順位,温泉地名,所在地,地方
51,白骨,長野,中部
52,湯河原,神奈川,関東
53,修善寺,静岡,中部
54,昼神,長野,中部
55,洞爺湖,北海道,北海道
56,伊香保,群馬,関東
57,湯田中渋温泉郷,長野,中部
58,伊東,静岡,中部
59,別所,長野,中部
60,湯村,兵庫,近畿
61,羽合,鳥取,中国
62,酸ヶ湯,青森,東北
63,男鹿,秋田,東北
64,赤湯,山形,東北
65,西山,山梨,中部
66,こんぴら,香川,四国
67,阿蘇温泉郷,熊本,九州
68,ニセコ温泉郷,北海道,北海道
69,あつみ,山形,東北
70,母畑,福島,東北
71,万座,群馬,関東
72,河口湖,山梨,中部
73,瀬波,新潟,中部
74,越後湯沢,新潟,中部
75,下田,静岡,中部
76,湯の花,京都,近畿
77,鞆の浦,広島,中国
78,湯田,山口,中国
79,祖谷,徳島,四国
80,原鶴,福岡,九州
81,層雲峡,北海道,北海道
82,美ヶ原,長野,中部
83,黄金崎不老ふ死,青森,東北
84,鳴子,宮城,東北
85,野沢,長野,中部
86,中ノ沢,福島,東北
87,日光湯元,栃木,関東
88,扉,長野,中部
89,熱川,静岡,中部
90,高湯,福島,東北
91,おごと,滋賀,近畿
92,浜名湖かんざんじ,静岡,中部
93,熊野本宮温泉郷,和歌山,近畿
94,芦ノ牧,福島,東北
95,一関温泉郷,岩手,東北
96,松島,宮城,東北
97,湯野浜,山形,東北
98,四万,群馬,関東
99,小湊,千葉,関東
100,焼津黒潮,静岡,中部
