rank_now,name,location,area
順位,温泉地名,所在地,地方
1,草津,群馬,関東
2,下呂,岐阜,中部
3,道後,愛媛,四国
4,別府八湯,大分,九州
5,登別,北海道,北海道
6,指宿,鹿児島,九州
7,有馬,兵庫,近畿
8,箱根,神奈川,関東
9,由布院,大分,九州
10,城崎,兵庫,近畿
11,黒川,熊本,九州
12,和倉,石川,中部
13,伊香保,群馬,関東
14,銀山,山形,東北
15,玉造,島根,中国
16,乳頭温泉郷,秋田,東北
17,熱海,静岡,中部
18,奥飛騨温泉郷,岐阜,中部
19,十勝川,北海道,北海道
20,蔵王,山形,東北
21,月岡,新潟,中部
22,あわら,福井,中部
23,嬉野,佐賀,九州
24,鬼怒川・川治,栃木,関東
25,白浜,和歌山,近畿
26,雲仙,長崎,九州
27,湯の川,北海道,北海道
28,秋保,宮城,東北
29,万座,群馬,関東
30,白骨,長野,中部
31,湯田中渋温泉郷,長野,中部
32,山中,石川,中部
33,霧島,鹿児島,九州
34,昼神,長野,中部
35,飛騨高山,岐阜,中部
36,上諏訪,長野,中部
37,修善寺,静岡,中部
38,層雲峡,北海道,北海道
39,三朝,鳥取,中国
40,山代,石川,中部
41,みなかみ１８湯　　　,群馬,関東
42,鳴子,宮城,東北
43,酸ケ湯,青森,東北
44,花巻温泉郷,岩手,東北
45,定山渓,北海道,北海道
46,洞爺湖,北海道,北海道
47,長良川,岐阜,中部
48,四万,群馬,関東
49,宇奈月,富山,中部
50,長門湯本,山口,中国
順位,温泉地名,所在地,地方
51,稲取,静岡,中部
52,阿寒湖,北海道,北海道
53,河口湖,山梨,中部
54,野沢,長野,中部
55,観音,静岡,中部
56,皆生,鳥取,中国
57,湯西川,栃木,関東
58,伊東,静岡,中部
59,川湯,北海道,北海道
60,平磯,北海道,北海道
61,別所,長野,中部
62,湯河原,神奈川,関東
63,那須,栃木,関東
64,石和,山梨,中部
65,湯村,兵庫,近畿
66,ウトロ,北海道,北海道
67,美ケ原,長野,中部
68,こんぴら,香川,四国
69,洲本,兵庫,近畿
70,塩原,栃木,関東
71,高湯,福島,東北
72,黄金崎不老ふ死,青森,東北
73,かみのやま,山形,東北
74,東山,福島,東北
75,榊原,三重,近畿
76,南紀勝浦,和歌山,近畿
77,玉川,秋田,東北
77,西山,山梨,中部
79,山鹿・平山,熊本,九州
80,ニセコ温泉郷,北海道,北海道
81,鳥羽温泉郷,三重,近畿
82,湯田,山口,中国
83,日光湯元,栃木,関東
84,阿蘇温泉郷,熊本,九州
85,母畑,福島,東北
86,龍神,和歌山,近畿
87,長湯,大分,九州
88,熊野本宮温泉郷,和歌山,近畿
89,赤湯,山形,東北
90,磐梯熱海,福島,東北
90,下田,静岡,中部
92,あつみ,山形,東北
93,おごと,滋賀,近畿
94,祖谷,徳島,四国
95,支笏湖,北海道,北海道
96,原鶴,福岡,九州
97,大雪高原,北海道,北海道
98,杖立,熊本,九州
98,愛山渓,北海道,北海道
100,瀬波,新潟,中部
